image,participant,normalized_description,num_nouns,pos,filename
285751,35,Een uitgebreid werkstation,1,DET VERB NOUN,Scan_Path_ppn35_285751.mp3
713403,35,Een groep jongens maakt zich klaar om te gaan eten,1,DET NOUN NOUN VERB PRON ADJ CONJ ADP VERB VERB,Scan_Path_ppn35_713403.mp3
1159427,36,Een dubbeldekker bus ,1,DET ADJ NOUN,Scan_Path_ppn36_1159427.mp3
1159606,106,Computerschermen die aanstaan,1,NOUN PRON VERB,Scan_Path_ppn106_1159606.mp3
713418,106, Verlichte stad in het donker,1,SPACE PROPN NOUN ADP DET NOUN,Scan_Path_ppn106_713418.mp3
1592289,44,Een blauwe en groene bus die achter elkaar rijden,1,DET ADJ CONJ ADJ NOUN PRON ADP PRON VERB,Scan_Path_ppn44_1592289.mp3
150277,23,Vliegveld met twee vliegtuigen,1,VERB ADP NUM NOUN,Scan_Path_ppn23_150277.mp3
1591994,23,Een blauwe bus op de weg,1,DET ADJ NOUN ADP DET X,Scan_Path_ppn23_1591994.mp3
1592289,23,Twee bussen die achter elkaar aanrijden,1,NUM NOUN PRON ADP PRON VERB,Scan_Path_ppn23_1592289.mp3
1592298,23,Hele grote groep mensen die staan te wachten om over te steken,1,ADJ ADJ NOUN NOUN PRON VERB ADP VERB CONJ ADV ADP VERB,Scan_Path_ppn23_1592298.mp3
1592378,23,Een restaurant,1,DET NOUN,Scan_Path_ppn23_1592378.mp3
498024,23,Een rode bus ,1,DET ADJ NOUN,Scan_Path_ppn23_498024.mp3
498079,23,Een man die aan de eettafel zit die aan het telefoneren is,1,DET NOUN PRON ADP ADP X VERB PRON ADP DET VERB VERB,Scan_Path_ppn23_498079.mp3
713829,23,Tv die aanstaat,1,NOUN PRON VERB,Scan_Path_ppn23_713829.mp3
1159427,24,Een dubbeldekker bus ,1,DET ADJ NOUN,Scan_Path_ppn24_1159427.mp3
1159572,24,Een complexe verkeerssituatie,1,DET ADJ NOUN,Scan_Path_ppn24_1159572.mp3
150273,24,Een man die aan het honkballen is,1,DET NOUN PRON ADP X VERB VERB,Scan_Path_ppn24_150273.mp3
150474,24,Een jongen die aan het skateboarden is,1,DET NOUN PRON ADP DET VERB VERB,Scan_Path_ppn24_150474.mp3
1592286,24,Aziatische mensen die dumplings eten,1,ADJ NOUN PRON ADV VERB,Scan_Path_ppn24_1592286.mp3
1592807,24,Twee dubbeldekkerbussen,1,NUM NOUN,Scan_Path_ppn24_1592807.mp3
285851,24,Twee rode metro's,1,NUM ADJ NOUN,Scan_Path_ppn24_285851.mp3
497950,24,Mensen die aan het skiën zijn,1,NOUN PRON ADP X X VERB,Scan_Path_ppn24_497950.mp3
498258,24,Een grote witte vrachtauto op de weg,1,DET ADJ ADJ NOUN ADP DET X,Scan_Path_ppn24_498258.mp3
1159621,103,Een skipiste in Noorwegen,1,DET ADJ ADP NOUN,Scan_Path_ppn103_1159621.mp3
1159621,34, Wintersportgebergte,1,SPACE PROPN,Scan_Path_ppn34_1159621.mp3
1159621,44,Een sneeuwpiste met daaronder mensen ,1,DET ADJ ADP PRON NOUN,Scan_Path_ppn44_1159621.mp3
1159427,106,Een Engelse bus die geparkeerd staat,1,DET ADJ NOUN PRON VERB VERB,Scan_Path_ppn106_1159427.mp3
713666,40,Een ouderwetse touringbus ,1,DET ADJ NOUN,Scan_Path_ppn40_713666.mp3
1159508,105,Een slaapkamer waar alles erg dicht op elkaar staat,1,DET NOUN ADV PRON ADJ ADV ADP PRON VERB,Scan_Path_ppn105_1159508.mp3
1591876,106,Een clubsandwich met van alles erop qua eten,1,DET NOUN ADP ADP X ADV ADP VERB,Scan_Path_ppn106_1591876.mp3
285959,101,Een rommelig bureau,1,DET ADJ NOUN,Scan_Path_ppn101_285959.mp3
285851,37,Twee stadstrammen rijden langs elkaar,1,NUM NOUN VERB ADP PRON,Scan_Path_ppn37_285851.mp3
498175,37,Iemand zit op een kameel en rijdt daarop,1,PRON VERB ADP DET NOUN CONJ VERB ADV,Scan_Path_ppn37_498175.mp3
713371,37,Iemand heeft op een brandkraan ogen getekend ,1,PRON VERB ADP DET NOUN NOUN VERB,Scan_Path_ppn37_713371.mp3
713652,37,Een snowboardploeg staat op het punt om te gaan snowboarden,1,DET NOUN VERB ADP X X CONJ ADP VERB VERB,Scan_Path_ppn37_713652.mp3
713786,37,Mensen zitten op de skipiste te skiën,1,NOUN VERB ADP DET ADJ ADP VERB,Scan_Path_ppn37_713786.mp3
1159434,38,Een schapenscheer wedstrijd,1,DET ADJ NOUN,Scan_Path_ppn38_1159434.mp3
107955,2,Drie vrouwen die wat zijn gaan drinken,1,NUM NOUN PRON PRON VERB VERB VERB,Scan_Path_ppn2_107955.mp3
1159813,2,Een klaslokaal waar gesnoept wordt,1,DET NOUN ADV VERB VERB,Scan_Path_ppn2_1159813.mp3
1160127,2,Een hele rommelige slaapkamer met meerdere beeldschermen,1,DET ADJ ADJ NOUN ADP NUM VERB,Scan_Path_ppn2_1160127.mp3
1160204,2,Een skipiste bij de skilift,1,DET ADJ ADP DET NOUN,Scan_Path_ppn2_1160204.mp3
1591805,2,Een vrouw die gaat vliegeren,1,DET NOUN PRON VERB VERB,Scan_Path_ppn2_1591805.mp3
1592044,2,De kapper bij iemand thuis,1,DET NOUN ADP PRON ADV,Scan_Path_ppn2_1592044.mp3
107909,47,Van toetje,1,ADP NOUN,Scan_Path_ppn47_107909.mp3
1159847,47,Een rode bus met 46 achtergrond,1,DET ADJ NOUN ADP NUM NUM,Scan_Path_ppn47_1159847.mp3
1159860,47,De Fruitmarkt… Het kan nog afsluiten vanavond,1,DET NOUN PROPN PRON VERB ADV VERB ADV,Scan_Path_ppn47_1159860.mp3
1160155,47,Nu speedboot Die achterin stuk wordt getrokken en ik,1,ADV ADJ PRON ADP NOUN VERB VERB CONJ PRON,Scan_Path_ppn47_1160155.mp3
1591859,47,Een zwarte koelkast indrinken,1,DET ADJ NOUN VERB,Scan_Path_ppn47_1591859.mp3
498153,2,Een bibliotheek,1,DET NOUN,Scan_Path_ppn2_498153.mp3
713003,2,Vier wat oudere mannen die gaan tennissen,1,NUM PRON ADJ NOUN PRON VERB VERB,Scan_Path_ppn2_713003.mp3
1159784,29,Een rommelige keuken,1,DET ADJ NOUN,Scan_Path_ppn29_1159784.mp3
1592201,29,Een zelfgebakken cake,1,DET ADJ NOUN,Scan_Path_ppn29_1592201.mp3
1592298,29,Oversteekplaats in een Aziatische land,1,ADV ADP DET ADJ NOUN,Scan_Path_ppn29_1592298.mp3
1593241,29,Man met parapluhoed,1,NOUN ADP X,Scan_Path_ppn29_1593241.mp3
285670,29,Twee gekleurde bussen naast elkaar die stilstaan,1,NUM VERB NOUN ADP PRON PRON VERB,Scan_Path_ppn29_285670.mp3
285933,49,Gezond eten op een bord en ongezond eten,1,ADJ VERB ADP DET NOUN CONJ ADJ VERB,Scan_Path_ppn49_285933.mp3
285948,49,Pizza-etende mensen,1,VERB NOUN,Scan_Path_ppn49_285948.mp3
497950,49,Skiënde mensen,1,VERB NOUN,Scan_Path_ppn49_497950.mp3
498025,49,Een taart-snijdende vrouw,1,DET ADJ NOUN,Scan_Path_ppn49_498025.mp3
498258,49,Een Mercedes busje die doorrijdt,1,DET ADJ NOUN PRON ADV,Scan_Path_ppn49_498258.mp3
713075,49,Een computer waarop er op wordt gewerkt,1,DET NOUN ADV ADV ADV VERB VERB,Scan_Path_ppn49_713075.mp3
713371,49,Water,1,NOUN,Scan_Path_ppn49_713371.mp3
713450,49,Jongeren die een frisbee in de hand hebben,1,ADJ PRON DET NOUN ADP ADP X VERB,Scan_Path_ppn49_713450.mp3
713652,49,Vrienden die klaar zijn om te gaan skiën,1,NOUN PRON ADJ VERB CONJ ADP VERB VERB,Scan_Path_ppn49_713652.mp3
1591805,9,Een meisje wat aan het vliegeren is,1,DET NOUN PRON ADP X VERB VERB,Scan_Path_ppn9_1591805.mp3
498372,102,Een keuken helemaal opgeruimd,1,DET NOUN ADV VERB,Scan_Path_ppn102_498372.mp3
1159425,101,De Big Ben,1,DET NOUN PROPN,Scan_Path_ppn101_1159425.mp3
107906,101,Twee bussen die achter elkaar staan,1,NUM NOUN PRON ADP PRON VERB,Scan_Path_ppn101_107906.mp3
107906,43, Twee witte busjes,1,SPACE NUM ADJ NOUN,Scan_Path_ppn43_107906.mp3
1159425,43,De Big Ben,1,DET NOUN PROPN,Scan_Path_ppn43_1159425.mp3
1159768,43,Een old timer,1,DET ADJ NOUN,Scan_Path_ppn43_1159768.mp3
1159819,43,Een olifant en allemaal toeristen,1,DET ADJ CONJ PRON NOUN,Scan_Path_ppn43_1159819.mp3
1159973,43,Een soort wine tasting,1,DET NOUN NOUN NOUN,Scan_Path_ppn43_1159973.mp3
1160189,43,Een badkamer,1,DET NOUN,Scan_Path_ppn43_1160189.mp3
150474,43,En man die is aan het skaten,1,CONJ NOUN PRON VERB ADP X VERB,Scan_Path_ppn43_150474.mp3
1591909,43, Allemaal duiven,1,SPACE PRON NOUN,Scan_Path_ppn43_1591909.mp3
1592047,43,Een oranje propellor vliegtuig,1,DET ADJ NOUN PROPN,Scan_Path_ppn43_1592047.mp3
1159768,101,Een oude zwarte auto,1,DET ADJ ADJ NOUN,Scan_Path_ppn101_1159768.mp3
1592836,101,"Oud zilveren tafelgerei, kandelaren",1,ADV ADJ NOUN PUNCT VERB,Scan_Path_ppn101_1592836.mp3
1591961,107,Een auto die achter zich iets met zich meetrekt ,1,DET NOUN PRON ADP PRON PRON ADP PRON VERB,Scan_Path_ppn107_1591961.mp3
107906,49,Een man die wilt oversteken,1,DET NOUN PRON VERB VERB,Scan_Path_ppn49_107906.mp3
1159353,49,Iemand is aan het eten en bezig achter zijn laptop,1,PRON VERB ADP DET VERB CONJ ADJ ADP PRON NOUN,Scan_Path_ppn49_1159353.mp3
1160140,49,Een regenachtige dag,1,DET ADJ NOUN,Scan_Path_ppn49_1160140.mp3
1591909,49,Duiven die allemaal vliegen,1,NOUN PRON PRON VERB,Scan_Path_ppn49_1591909.mp3
1160158,104,Een etentje waarbij iedereen ofwel verkleed ofwel hetzelfde masker draagt,1,DET NOUN ADV PRON CONJ ADJ CONJ PRON ADJ VERB,Scan_Path_ppn104_1160158.mp3
1159397,102,Twee stoplichten die op groen staan en een op oranje,1,NUM NOUN PRON ADP ADJ VERB CONJ DET ADP ADJ,Scan_Path_ppn102_1159397.mp3
1159446,108,Onder de brug rijden allemaal auto's,1,ADP ADP X VERB PRON NOUN,Scan_Path_ppn108_1159446.mp3
1160168,8,Treinen komen aanrijden,1,NOUN VERB VERB,Scan_Path_ppn8_1160168.mp3
1160227,8,Een televisieprogramma aan het kijken,1,DET NOUN ADP X VERB,Scan_Path_ppn8_1160227.mp3
1160247,8,"Mensen staan of gaan ergens naar kijken, staan rijen dik achter elkaar",1,NOUN VERB CONJ VERB ADV ADV VERB PUNCT VERB VERB ADJ ADP PRON,Scan_Path_ppn8_1160247.mp3
1591805,8,Een vrouw gaat vliegeren,1,DET NOUN VERB VERB,Scan_Path_ppn8_1591805.mp3
1591859,8,Een keuken,1,DET NOUN,Scan_Path_ppn8_1591859.mp3
1591961,8,Een auto vervoert iets,1,DET NOUN VERB PRON,Scan_Path_ppn8_1591961.mp3
1592044,8, Twee vrouwen zijn bezig met het haar van iemand anders,1,SPACE NUM NOUN VERB ADJ ADP DET PRON ADP PRON PRON,Scan_Path_ppn8_1592044.mp3
1592083,8,Pizza's worden bereidt ,1,NOUN VERB VERB,Scan_Path_ppn8_1592083.mp3
1592251,8,Een treinstation,1,DET NOUN,Scan_Path_ppn8_1592251.mp3
1592254,8,Een aantal vrienden zijn gezellig samen,1,DET NOUN NOUN VERB ADJ ADV,Scan_Path_ppn8_1592254.mp3
1592352,8, heel veel schapen,1,SPACE ADV NUM NOUN,Scan_Path_ppn8_1592352.mp3
1592567,8,Harley-Davidson winkel,1,NOUN PROPN,Scan_Path_ppn8_1592567.mp3
1592656,8,Een bus rijdt op de weg,1,DET NOUN VERB ADP DET X,Scan_Path_ppn8_1592656.mp3
285859,8,Een museum,1,DET NOUN,Scan_Path_ppn8_285859.mp3
713730,8,Een winkeltje dat donuts verkoopt,1,DET NOUN PRON PRON VERB,Scan_Path_ppn8_713730.mp3
713779,8,Een woonkamer,1,DET NOUN,Scan_Path_ppn8_713779.mp3
1159889,9,Een tennisser die iets weg slaat,1,DET NOUN PRON PRON ADV VERB,Scan_Path_ppn9_1159889.mp3
713666,16,Geparkeerde oldtimer bus,1,VERB NOUN NOUN,Scan_Path_ppn16_713666.mp3
1159515,17,Denk een afgebrande woonkamer,1,VERB DET VERB NOUN,Scan_Path_ppn17_1159515.mp3
1592289,17,Twee dubbeldekkers die achter elkaar aan rijden,1,NUM NOUN PRON ADP PRON ADV VERB,Scan_Path_ppn17_1592289.mp3
61537,17, drie stoplichten naast elkaar die hangen,1,SPACE NUM NOUN ADP PRON PRON VERB,Scan_Path_ppn17_61537.mp3
713003,33,Vier mannen die die zijn aan het tennissen,1,NUM NOUN PRON PRON VERB ADP DET VERB,Scan_Path_ppn33_713003.mp3
713749,33,vier mannen zijn samen aan het koken,1,NUM NOUN VERB ADV ADP X VERB,Scan_Path_ppn33_713749.mp3
1592298,35,Grote groep mensen die staat wachten tot het licht om over te steken op groen gaat,1,ADJ NOUN NOUN PRON VERB VERB ADP X X CONJ ADV ADP VERB ADP ADJ VERB,Scan_Path_ppn35_1592298.mp3
1592350,35,Een drukke werkplaats,1,DET ADJ NOUN,Scan_Path_ppn35_1592350.mp3
1592581,35,Een versierde woonkamer,1,DET VERB NOUN,Scan_Path_ppn35_1592581.mp3
1593084,35,Hele groep mensen op wintersport,1,ADJ NOUN NOUN ADP X,Scan_Path_ppn35_1593084.mp3
713765,24,Een trein overweg plek,1,DET NOUN NOUN NOUN,Scan_Path_ppn24_713765.mp3
713786,24,Volwassenen en kinderen die aan het skiën zijn,1,ADJ CONJ NOUN PRON ADP X X VERB,Scan_Path_ppn24_713786.mp3
107906,25,Twee voertuigen die achter elkaar staan,1,NUM NOUN PRON ADP PRON VERB,Scan_Path_ppn25_107906.mp3
1159365,25,Een straat,1,DET NOUN,Scan_Path_ppn25_1159365.mp3
1159606,25,Vier computers naast elkaar die tegelijkertijd aan staan,1,NUM NOUN ADP PRON PRON ADV ADV VERB,Scan_Path_ppn25_1159606.mp3
150432,25, een straatweg waar het ,1,SPACE DET NOUN ADV PRON,Scan_Path_ppn25_150432.mp3
1592017,25,Een stopbord die op de weg staat,1,DET NOUN PRON ADP DET X VERB,Scan_Path_ppn25_1592017.mp3
1592133,25,Een luxe woonkamer,1,DET ADJ NOUN,Scan_Path_ppn25_1592133.mp3
1592168,25,Een event die wordt gesponsord,1,DET NOUN PRON VERB VERB,Scan_Path_ppn25_1592168.mp3
285959,25,Onopgeruimde bureau van iemand,1,ADJ NOUN ADP PRON,Scan_Path_ppn25_285959.mp3
497950,25,Mensen die aan het skiën zijn,1,NOUN PRON ADP X X VERB,Scan_Path_ppn25_497950.mp3
497974,25,Twee bussen naast elkaar,1,NUM NOUN ADP PRON,Scan_Path_ppn25_497974.mp3
498108,25,Iemand die een frisbee gooit,1,PRON PRON DET NOUN ADJ,Scan_Path_ppn25_498108.mp3
1159515,104,Een afgebrande woonkamer,1,DET VERB NOUN,Scan_Path_ppn104_1159515.mp3
1591838,106,Beeldschermen die aanstaan,1,NOUN PRON VERB,Scan_Path_ppn106_1591838.mp3
1591994,103,Een blauwe bus,1,DET ADJ NOUN,Scan_Path_ppn103_1591994.mp3
713786,101,Skipiste met een hoop kinderen erop,1,VERB ADP DET NOUN NOUN ADV,Scan_Path_ppn101_713786.mp3
1592807,105,Twee bussen die staan te wachten,1,NUM NOUN PRON VERB ADP VERB,Scan_Path_ppn105_1592807.mp3
713749,102,Vier mannen die aan het koken zijn,1,NUM NOUN PRON ADP X VERB VERB,Scan_Path_ppn102_713749.mp3
497950,101,Een skipiste met daarop mensen die aan het skiën zijn,1,DET ADJ ADP ADV NOUN PRON ADP X X VERB,Scan_Path_ppn101_497950.mp3
285994,103,Gevulde paprika's en gebakken champignons,1,VERB NOUN CONJ VERB VERB,Scan_Path_ppn103_285994.mp3
498024,44,Een rode dubbeldekker bus,1,DET ADJ NOUN NOUN,Scan_Path_ppn44_498024.mp3
1159675,104,Een Thaise optocht,1,DET NOUN ADV,Scan_Path_ppn104_1159675.mp3
713274,40,Een groep mensen die op wintersport zijn om te skiën,1,DET NOUN NOUN PRON ADP X VERB CONJ ADP VERB,Scan_Path_ppn40_713274.mp3
1592971,104,Een keuken,1,DET NOUN,Scan_Path_ppn104_1592971.mp3
713640,17,Zes bejaarden met een papieren kroontje op ,1,NUM ADJ ADP DET ADJ NOUN ADV,Scan_Path_ppn17_713640.mp3
713684,17,"Twee Londense stadsbussen, rode, achter elkaar",1,NUM ADJ NOUN PUNCT ADJ PUNCT ADP PRON,Scan_Path_ppn17_713684.mp3
498326,19,Een dubbel zo lange bus die wit en groen is en aan het rijden is,1,DET ADJ ADV ADJ NOUN PRON ADJ CONJ ADJ VERB CONJ ADP X VERB VERB,Scan_Path_ppn19_498326.mp3
1159675,16,Een groep mensen die allemaal vliegen vast heeft,1,DET NOUN NOUN PRON PRON VERB ADJ VERB,Scan_Path_ppn16_1159675.mp3
1592289,16,"twee dubbeldekker bussen, een blauwe en een groene, die voorbijrijden op de weg",1,NUM NOUN NOUN PUNCT DET ADJ CONJ DET ADJ PUNCT PRON ADJ ADP DET X,Scan_Path_ppn16_1592289.mp3
1159606,5,Vier computerschermen,1,NUM NOUN,Scan_Path_ppn5_1159606.mp3
1159967,5,Een grote keuken,1,DET ADJ NOUN,Scan_Path_ppn5_1159967.mp3
713807,107,Een groep mensen die aan het dineren is en best wel netjes,1,DET NOUN NOUN PRON ADP DET VERB VERB CONJ ADJ ADV ADV,Scan_Path_ppn107_713807.mp3
1591977,106,Donuts die net gebakken zijn en een vrouw wil ze eruit halen,1,PRON PRON ADV VERB VERB CONJ DET NOUN VERB PRON ADV VERB,Scan_Path_ppn106_1591977.mp3
497974,101,Ik zie een soort geldtruck,1,PRON VERB DET NOUN NOUN,Scan_Path_ppn101_497974.mp3
713684,44,Twee rood met zwarte bussen die achter elkaar rijden,1,NUM ADJ ADP ADJ NOUN PRON ADP PRON VERB,Scan_Path_ppn44_713684.mp3
1159967,105,Verschillende vrouwen bereiden eten voor,1,PRON NOUN VERB VERB ADV,Scan_Path_ppn105_1159967.mp3
498258,101,Een witte Mercedes truck,1,DET ADJ NOUN PROPN,Scan_Path_ppn101_498258.mp3
498153,32,Een bibliotheek,1,DET NOUN,Scan_Path_ppn32_498153.mp3
1160204,33,Op de skipiste staan allemaal mensen,1,ADP DET ADJ VERB PRON NOUN,Scan_Path_ppn33_1160204.mp3
1591932,12,Een donkere straat die omhoog loopt,1,DET ADJ NOUN PRON ADV VERB,Scan_Path_ppn12_1591932.mp3
1591977,12,Verschillende donuts die net worden afgebakken,1,PRON NOUN PRON ADV VERB VERB,Scan_Path_ppn12_1591977.mp3
1592047,12,Een groen vliegtuig dat wordt ingeladen,1,DET ADJ NOUN PRON VERB VERB,Scan_Path_ppn12_1592047.mp3
1592807,12,Twee bussen die stilstaan waarvan er een oranje en een zwart is,1,NUM NOUN PRON ADJ ADV ADV DET ADJ CONJ DET ADJ VERB,Scan_Path_ppn12_1592807.mp3
1592807,101,Oranje stadsbus ,1,NOUN NOUN,Scan_Path_ppn101_1592807.mp3
1593084,44,Uitzicht over een sneeuw piste,1,ADV ADP DET NOUN VERB,Scan_Path_ppn44_1593084.mp3
497950,105,Verschillende personen die van de piste af skiën ,1,PRON NOUN PRON ADP DET ADJ ADV VERB,Scan_Path_ppn105_497950.mp3
1160062,106,Mensen die ergens naar kijken en het ergens over hebben,1,NOUN PRON ADV ADV VERB CONJ DET ADV ADV VERB,Scan_Path_ppn106_1160062.mp3
713707,101,Ik zie jongeren spelen op een grasveld,1,PRON VERB ADJ VERB ADP DET NOUN,Scan_Path_ppn101_713707.mp3
107930,101,Ik zie een houten kastje,1,PRON VERB DET ADJ NOUN,Scan_Path_ppn101_107930.mp3
1593102,104,Een slaapkamer situatie waarbij een iemand op zijn MacBook aan het werken is,1,DET ADJ NOUN ADV DET PRON ADP PRON NUM ADP X VERB VERB,Scan_Path_ppn104_1593102.mp3
713689,104,Een keuken waar nog geverfd moet worden,1,DET NOUN ADV ADV ADJ VERB VERB,Scan_Path_ppn104_713689.mp3
150463,40,Een groep mensen die buiten staat te wachten,1,DET NOUN NOUN PRON ADV VERB ADP VERB,Scan_Path_ppn40_150463.mp3
1159784,103,Een keuken in gebruik met open verhuisdozen ,1,DET NOUN ADP X ADP ADJ VERB,Scan_Path_ppn103_1159784.mp3
1159762,3,Een donkergroen voertuig dat er ouderwets uitziet,1,DET NOUN NOUN CONJ ADV ADJ VERB,Scan_Path_ppn3_1159762.mp3
1593063,3,Vier voertuigen die er speciaal uitzien,1,NUM NOUN PRON ADV ADJ VERB,Scan_Path_ppn3_1593063.mp3
713328,102,Een drukbezette pier,1,DET ADJ NOUN,Scan_Path_ppn102_713328.mp3
1593084,104,Wintersport,1,NOUN,Scan_Path_ppn104_1593084.mp3
497974,105,Twee busjes die geparkeerd staan,1,NUM NOUN PRON VERB VERB,Scan_Path_ppn105_497974.mp3
713858,101,Jongeren die met de Nintendo Wii aan het spelen zijn,1,ADJ PRON ADP DET NOUN PROPN ADP X VERB VERB,Scan_Path_ppn101_713858.mp3
713640,103,Ouderen met blauwe en paarse crêpepapieren hoedjes,1,VERB ADP ADJ CONJ ADJ NOUN NOUN,Scan_Path_ppn103_713640.mp3
285851,101,Twee rode trams,1,NUM ADJ NOUN,Scan_Path_ppn101_285851.mp3
